,content,id,lat,location,lon,time,user,user_id
219,"Oh dear.

I got Sean Spicer! https://t.co/S910kJcEq4",971525235756367872,,"Boston, MA",,2018-03-07 23:17:20,st4reintoabyss,920449444843261952
22,@TheWhaler WHY DID PEOPLE THINK THIS WAS OKAY,971525439129825280,,"Cambridge, MA",,2018-03-07 23:18:09,diabola,1477211
220,"@RFHBoxing @CatClemonsMusic @Woodsy1069 @DanielJacobsTKO I've yet to see Lomachenko as a special fighter, although… https://t.co/l3q90uZo9J",971525235437658112,,"Boston, MA",,2018-03-07 23:17:20,cfarrell_boxing,3181348329
221,@rainakpuels The world’s biggest fan of Avatar...? || https://t.co/f0D4CPTdav,971525233848045568,,"Boston, MA",,2018-03-07 23:17:20,brianvlasak,127953949
222,":/
bored",971525232921141248,,"Boston, MA",,2018-03-07 23:17:20,thereallilymat1,777526340299857920
224,RT @unusualImagery: https://t.co/eodTlmZ4ZS,971525232505827328,,Other Location in US,,2018-03-07 23:17:20,couzouille,299659834
225,@TranslateRealDT  https://t.co/W1wBadU038,971525231964717056,,"Boston, MA",,2018-03-07 23:17:20,nina2in,897846669659840512
227,"RT @KathleenCEngel: Help Keep Income-Driven #studentloan Payments Affordable! @SuffolkLaw 
https://t.co/D5bys1fu4J",971525230823923712,,"Boston, MA",,2018-03-07 23:17:19,iamJanKruse,846841623191412736
228,"@GeorgeTakei @60SecDocs Just like this guy shared his cock with you... If you weren't rich, Brad would have filed f… https://t.co/l6LICwUxfW",971525227942379520,,"Boston, MA",,2018-03-07 23:17:19,BrunoBacalla,252365139
229,Before I turn 40 can @OFFICIALFTSK pls just do one last reunion tour I’ll literally cry,971525226906472448,,"Boston, MA",,2018-03-07 23:17:18,kaylajunepope,966460276748021760
230,RT @Kimwalsh7: Listening to wonderful women 🤓 @HubSpot #futureisfemale https://t.co/4bpF9i9Rhx,971525225471934464,,Other Location,,2018-03-07 23:17:18,StartupInbound,889802881225953280
231,RT @CollegeFashion: Why Crazy Ex-Girlfriend Is the Mental Health Representation TV Needs https://t.co/KvmqUjj4Jq https://t.co/eZSIR3aNXy,971525225300004864,,Other Location,,2018-03-07 23:17:18,KyleeGrimwood,751028522
232,RT @chiefkaba: @VenturaULT this aint it bro,971525224058548224,,"Boston, MA",,2018-03-07 23:17:18,VenturaULT,257566488
234,@surelybutslowly 500 miles,971525221969776640,,"Boston, MA",,2018-03-07 23:17:17,sdrawkcabnhoJ,59350901
235,Scooter Batteries: YAMAHA Zuma 125 09 SCOOTER Battery https://t.co/1fJtxh3cr2,971525220593905664,,"Boston, MA",,2018-03-07 23:17:17,SourcePowerup,883331554499584000
237,Gotta love Thib! https://t.co/qTNuFdtENR,971525219767726080,,"Boston, MA",,2018-03-07 23:17:17,Indy_Jonez,274742844
238,More Heat 🔥🔥🙌🏾 https://t.co/bhlVf5plXy,971525219134398464,,"Boston, MA",,2018-03-07 23:17:16,podcity617,1119896929
239,RT @TimmerFidelity: The stock market has reached a crossroads. Rising rates &amp; tightening financial conditions will likely start offsetting…,971525218991788032,,Other Location in US,,2018-03-07 23:17:16,rjber15,48219360
